Label (Grouping),2017-adjusted,2018-adjusted,2019-adjusted
"Census Tract 39.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","100,972.2","92,783.17","97,331.36"
"Census Tract 39.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,149.64","69,683.71","60,200"
"Census Tract 39.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","45,571.76","49,896.28","49,128.8"
"Census Tract 39.11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","46,837.32","45,848.62","43,627.36"
"Census Tract 39.12, Fayette County, Kentucky!!Median income (dollars)!!Estimate","68,317.04","56,903.41","58,720.48"
"Census Tract 39.13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","120,569.24","121,206.06","122,628.8"
"Census Tract 39.14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","75,705.08","87,022.43","94,267.04"
"Census Tract 39.15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","124,299.8","138,248.72","133,000"
"Census Tract 39.16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","152,250","148,877.5","150,500"
"Census Tract 39.17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","75,846.6","68,859.94","69,611.36"
"Census Tract 39.18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","103,608.88","98,226.38","98,174.72"
"Census Tract 40.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","46,686.52","44,134.41","49,143.36"
"Census Tract 40.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","61,638.92","67,338.96","69,942.88"
"Census Tract 40.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","145,290","140,947.16","143,640"
"Census Tract 40.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","171,928.24","218,090","255,500"
"Census Tract 40.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","71,997.72","99,581.25","91,000"
"Census Tract 41.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","51,948.28","56,072.86","76,300"
"Census Tract 41.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","51,507.48","47,780.92","46,200"
"Census Tract 41.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","81,991.12","82,042.52","90,311.2"
"Census Tract 41.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","117,156.52","116,194.51","116,335.52"
"Census Tract 41.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","105,223.6","106,868.62","104,650.56"
"Census Tract 42.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","83,239.28","70,978.69","71,496.32"
"Census Tract 42.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","115,925.76","112,842.93","109,099.2"
"Census Tract 42.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","128,708.96","143,016.19","143,133.76"
"Census Tract 42.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","111,521.24","111,941.19","114,775.36"
"Census Tract 42.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","94,560.88","90,254.23","92,850.24"
"Census Tract 42.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","83,578","84,552.25","83,742.4"
